practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,11.0,0.000644124775846567,False,0.0033959999996113766,0.19245409999984986,None,0,,443.91693829999986,444.92944290000014,None,1,444.92944290000014,443.91693829999986,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.015596833333347604,None,None,0,,447.2181958000001,448.22683730000017,None,1,448.22683730000017,447.2181958000001,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,812.2523963562351,30.0,0.0012243172279601026,False,0.008130700000037905,0.20098200000029465,['space'],1,[0.46080270000015844],454.0561825,455.0696705999999,None,1,455.0696705999999,454.0561825,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,217.63764082403114,15.0,0.0012983715067005196,False,0.004451799999969808,0.19184760000007373,None,0,,461.35238530000015,462.36617320000005,None,1,462.36617320000005,461.35238530000015,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,5656.85424949238,12.0,0.0005116620101677573,False,0.0033990666665886238,None,['space'],1,[0.7043725999999424],469.23702589999994,470.2448346000001,None,1,470.2448346000001,469.23702589999994,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013949533332834108,None,None,0,,471.4772355,472.48301249999986,None,1,472.48301249999986,471.4772355,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,3482.202253184498,12.0,0.0002979861068146753,False,0.010671199999706005,None,['space'],1,[0.6206839999997555],479.2722268000002,480.28237930000023,None,1,480.28237930000023,479.2722268000002,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,2143.5469250725882,15.0,0.00043859151861107374,False,0.014889400000356545,None,['space'],1,[0.6710138000000825],487.04531410000027,488.0533694999999,None,1,488.0533694999999,487.04531410000027,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,12.0,0.002877199686685786,False,0.004681499999605876,0.1966335999995863,None,0,,494.63140410000005,495.63729109999986,None,1,495.63729109999986,494.63140410000005,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,1231.1444133449168,24.0,0.000851413334521805,False,0.001884366667127324,None,['space'],1,[0.6650862999997571],501.9797377,502.9840856999999,None,1,502.9840856999999,501.9797377,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0024636333337184624,None,None,0,,505.8293689000002,506.8231315000003,None,1,506.8231315000003,505.8293689000002,,,ikieoz,001,fr,200,2022-04-25_15h26.12.662,Bayesian,2022.1.1,None,
