practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.014788133557885885,None,None,0,,225.68707969994284,226.71774660004303,None,1,226.71774660004303,225.68707969994284,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,1515.7165665103996,0.0,4.963027899072243e-05,False,0.014405233319848776,None,None,0,,230.5753794000484,231.59418089990504,None,1,231.59418089990504,230.5753794000484,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,378.9291416275994,4.0,0.00013000016238178756,False,0.008363766595721245,0.20106096658855677,['space'],1,[0.6318345998879522],234.82499850005843,235.84454570012167,None,1,235.84454570012167,234.82499850005843,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,3249.0095854249403,1.0,7.939092648083988e-05,False,0.00893860007636249,None,['space'],1,[0.5690538997296244],238.85508599993773,239.86566290003248,None,1,239.86566290003248,238.85508599993773,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,153.8930516681146,5.0,0.0008277719269625906,False,0.011301066726446152,None,['space'],1,[0.5503562998492271],242.92283029993996,243.91910500009544,None,1,243.91910500009544,242.92283029993996,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013158733490854502,None,None,0,,246.90823019994423,247.9178512999788,None,1,247.9178512999788,246.90823019994423,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,6062.8662660415985,-3.0,8.41269401965078e-05,False,0.006258066510781646,None,['space'],1,[0.5905190999619663],252.0501310999971,253.05533270002343,None,1,253.05533270002343,252.0501310999971,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,267.9433656340732,3.0,0.00020972419135141431,False,0.0027848666068166494,None,['space'],1,[0.7009465000592172],256.6436133000534,257.6692616001237,None,1,257.6692616001237,256.6436133000534,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,757.8582832551998,0.0,4.0284217316254384e-05,False,0.00012070010416209698,0.19234480010345578,['space'],1,[0.6667965997476131],260.2457523001358,261.2530440001283,None,1,261.2530440001283,260.2457523001358,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-4.0,0.00011454338263838867,False,0.0028806666377931833,None,['space'],1,[0.5373522997833788],265.143768500071,266.14101859997027,None,1,266.14101859997027,265.143768500071,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,1148.6983549970344,-2.0,3.993252316139017e-05,False,0.005154166603460908,None,None,0,,269.86896499991417,270.87508110003546,None,1,270.87508110003546,269.86896499991417,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01463763345964253,None,None,0,,273.16876569995657,274.17756430013105,None,1,274.17756430013105,273.16876569995657,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,1866.0659830736151,4.0,0.00010898398547837883,False,0.003946033306419849,0.1942314333282411,['space'],1,[0.8635326998773962],277.90649900003336,278.92093080002815,None,1,278.92093080002815,277.90649900003336,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,4287.0938501451765,-4.0,6.542645217571266e-05,False,0.004092999966815114,None,['space'],1,[0.625764399766922],281.48767630010843,282.49346940009855,None,1,282.49346940009855,281.48767630010843,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,500.0,2.0,8.994354575643942e-05,False,0.0037108000833541155,0.18980180006474257,['space'],1,[0.5640177999157459],285.6445553000085,286.6556975999847,None,1,286.6556975999847,285.6445553000085,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,2.0,0.000909850429304992,False,0.01641630008816719,None,['space'],1,[0.6480185999535024],289.59233639994636,290.62024859990925,None,1,290.62024859990925,289.59233639994636,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01329113356769085,None,None,0,,292.55773929995485,293.5727768999059,None,1,293.5727768999059,292.55773929995485,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,3031.4331330207992,-1.0,5.1513052502824035e-05,False,0.01399260014295578,None,None,0,,296.1173481999431,297.131631199969,None,1,297.131631199969,296.1173481999431,,,erfnpg,002,fr,200,2022-05-10_14h25.34.421,Bayesian,2022.1.1,None,
