practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,500.0,3.0,0.0001009183181840781,False,0.013166533331968822,None,['space'],1,[0.4350131999963196],186.04467200000363,187.05255190000753,None,1,187.05255190000753,186.04467200000363,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,287.17458874925893,-1.0,0.0001141689127028708,False,0.001101099987863563,0.1960926999890944,None,0,,189.35148029999982,190.37466810000478,None,1,190.37466810000478,189.35148029999982,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.014546333346515894,None,None,0,,193.3393364000076,194.36248660000274,None,1,194.36248660000274,193.3393364000076,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,812.2523963562351,12.0,0.00015413240703763653,False,0.006367799986037426,None,['space'],1,[0.4012753999995766],198.17439440000453,199.18825279999874,None,1,199.18825279999874,198.17439440000453,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,3482.202253184498,1.0,8.398389572004273e-05,False,0.008936433310736902,0.20249813332338817,None,0,,201.71904039999936,202.72302980000677,None,1,202.72302980000677,201.71904039999936,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-2.0,0.00014420157515633036,False,0.013067133331787772,None,['space'],1,[0.5213483999978052],206.24676900000486,207.27663890000258,None,1,207.27663890000258,206.24676900000486,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.00933823334344197,None,None,0,,209.92261740000686,210.92800559999887,None,1,210.92800559999887,209.92261740000686,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,1866.0659830736151,4.0,0.00010898398547837883,False,0.005994433333398774,0.20178703333658632,['space'],1,[0.4358273000107147],214.47619430000486,215.50193220000074,None,1,215.50193220000074,214.47619430000486,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,203.0630990890589,6.0,0.0005176529078327412,False,0.006041266678948887,None,['space'],1,[0.5109899999952177],217.89578120000078,218.92694940000365,None,1,218.92694940000365,217.89578120000078,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,125.0,0.0,0.000722719885372964,False,0.0056853666610550135,None,None,0,,222.20072579999396,223.2106453000015,None,1,223.2106453000015,222.20072579999396,,quicsb,001,fr$*,200,2022-07-21_14h50.13.060,Bayesian,2022.1.1,None,
